,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
174,220101040002,4,02,2017,0.0,88.0,0.0,0.0,0.0,164,43.9024,95.122,0.6098,2.439,0.6098
175,220202040002,4,02,2017,0.0,93.0,0.0,0.0,0.0,42,57.1429,92.8571,2.381,2.381,2.381
176,220401040004,4,04,2017,0.0,97.0,0.0,0.0,0.0,106,40.566,94.3396,2.8302,0.9434,0.0
177,220701040003,4,03,2017,0.0,90.0,0.0,0.0,0.0,88,36.3636,94.3182,1.1364,3.4091,1.1364
178,220909040010,4,10,2017,0.0,69.0,0.0,0.0,0.0,33,57.5758,93.9394,0.0,0.0,0.0
179,221001040001,4,01,2017,0.0,92.0,0.0,0.0,0.0,48,31.25,93.75,0.0,2.0833,0.0
180,221401040001,4,01,2017,0.0,91.0,0.0,0.0,0.0,45,51.1111,91.1111,0.0,2.2222,0.0
181,222000010016,1,16,2017,0.0,95.0,0.0,0.0,0.0,263,56.654,76.4259,7.9848,8.365,2.6616
182,222201060001,6,01,2017,0.0,85.0,0.0,0.0,0.0,235,43.4043,82.5532,3.4043,5.5319,1.7021
183,230301040002,4,02,2017,0.0,79.0,0.0,0.0,0.0,32,46.875,100.0,0.0,0.0,0.0
184,230901040002,4,02,2017,0.0,97.0,0.0,0.0,0.0,101,42.5743,94.0594,2.9703,0.9901,1.9802
185,231301040002,4,02,2017,0.0,95.0,0.0,0.0,0.0,66,51.5152,93.9394,3.0303,1.5152,1.5152
186,240101040002,4,02,2017,0.0,96.0,0.0,0.0,0.0,83,20.4819,91.5663,3.6145,1.2048,0.0
187,240401040001,4,01,2017,0.0,88.0,0.0,0.0,0.0,69,36.2319,88.4058,1.4493,7.2464,2.8986
188,240801060002,6,02,2017,0.0,91.0,0.0,0.0,0.0,156,27.5641,96.1538,1.2821,1.2821,0.641
189,241001060003,6,03,2017,0.0,80.0,0.0,0.0,0.0,107,53.271,91.5888,0.9346,6.5421,0.9346
