,schoolcode,district,county,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
168,141604060008,6,08,2019,0.0,92,0.0,0.0,0.0,400,29.25,92.25,0.75,3.25,1.0
169,141701040001,4,01,2019,0.0,95,0.0,0.0,0.0,81,20.9877,98.7654,0.0,1.2346,0.0
170,141800010008,1,08,2019,0.0,75,0.0,0.0,0.0,172,80.2326,70.9302,15.1163,11.0465,1.1628
172,141901060008,6,08,2019,0.0,97,0.0,0.0,0.0,475,22.1053,93.2632,1.6842,3.1579,0.4211
173,142101040002,4,02,2019,0.0,98,0.0,0.0,0.0,88,37.5,86.3636,0.0,0.0,1.1364
174,142201040001,4,01,2019,0.0,93,0.0,0.0,0.0,44,40.9091,95.4545,0.0,4.5455,0.0
175,142301060006,6,06,2019,0.0,96,0.0,0.0,0.0,405,13.8272,94.5679,0.9877,1.2346,2.716
176,142500010009,1,09,2019,0.0,82,0.0,0.0,0.0,139,48.9209,92.8058,2.8777,2.8777,0.0
177,142601030025,3,25,2019,0.0,91,0.0,0.0,0.0,260,43.8462,81.1538,8.0769,4.6154,3.0769
178,142601030026,3,26,2019,0.0,84,0.0,0.0,0.0,282,52.1277,73.7589,9.9291,8.8652,2.4823
180,142801060010,6,10,2019,0.0,89,0.0,0.0,0.0,353,34.8442,86.4023,3.6827,5.3824,1.1331
181,142801060016,6,16,2019,0.0,88,0.0,0.0,0.0,246,43.0894,84.5528,6.9106,4.065,2.8455
182,150203040001,4,01,2019,0.0,100,0.0,0.0,0.0,20,80.0,95.0,0.0,0.0,5.0
183,150601040001,4,01,2019,0.0,100,0.0,0.0,0.0,11,18.1818,90.9091,9.0909,0.0,0.0
184,150801040001,4,01,2019,0.0,0,0.0,0.0,0.0,4,75.0,100.0,0.0,0.0,0.0
185,150901040004,4,04,2019,0.0,96,0.0,0.0,0.0,49,34.6939,97.9592,2.0408,0.0,0.0
186,151001040001,4,01,2019,0.0,71,0.0,0.0,0.0,7,57.1429,100.0,0.0,0.0,0.0
187,151102040001,4,01,2019,0.0,92,0.0,0.0,0.0,50,44.0,96.0,2.0,0.0,2.0
188,151401040001,4,01,2019,0.0,92,0.0,0.0,0.0,25,56.0,100.0,0.0,0.0,0.0
189,151501060001,6,01,2019,0.0,72,0.0,0.0,0.0,64,43.75,96.875,1.5625,1.5625,0.0
190,151701040001,4,01,2019,0.0,100,0.0,0.0,0.0,17,64.7059,88.2353,0.0,0.0,0.0
191,160101060001,6,01,2019,0.0,96,0.0,0.0,0.0,45,33.3333,91.1111,0.0,4.4444,0.0
192,160801040002,4,02,2019,0.0,91,0.0,0.0,0.0,33,39.3939,96.9697,0.0,0.0,3.0303
193,161201040002,4,02,2019,0.0,91,0.0,0.0,0.0,110,70.0,30.9091,0.0,0.0,0.9091
194,161401060002,6,02,2019,0.0,84,0.0,0.0,0.0,96,31.25,96.875,0.0,1.0417,0.0
195,161501060014,6,14,2019,0.0,86,0.0,0.0,0.0,157,47.1338,98.0892,0.0,0.0,0.0
196,161601040002,4,02,2019,0.0,80,0.0,0.0,0.0,55,50.9091,98.1818,0.0,0.0,0.0
197,161801040001,4,01,2019,0.0,78,0.0,0.0,0.0,23,47.8261,95.6522,0.0,0.0,0.0
198,170500010009,1,09,2019,0.0,73,0.0,0.0,0.0,222,64.8649,86.036,4.955,4.955,0.9009
199,170600010006,1,06,2019,0.0,84,0.0,0.0,0.0,131,45.8015,90.8397,1.5267,3.8168,1.5267
200,170801040002,4,02,2019,0.0,88,0.0,0.0,0.0,59,44.0678,98.3051,0.0,1.6949,0.0
201,170901040001,4,01,2019,0.0,91,0.0,0.0,0.0,34,55.8824,97.0588,0.0,2.9412,0.0
202,171102040004,4,04,2019,0.0,91,0.0,0.0,0.0,149,46.3087,96.6443,2.0134,0.6711,0.0
203,180202040003,4,03,2019,0.0,93,0.0,0.0,0.0,72,20.8333,95.8333,2.7778,0.0,1.3889
204,180300010006,1,06,2019,0.0,79,0.0,0.0,0.0,178,48.8764,75.2809,15.7303,6.1798,1.6854
205,180701040001,4,01,2019,0.0,90,0.0,0.0,0.0,77,38.961,81.8182,5.1948,9.0909,1.2987
206,180901040002,4,02,2019,0.0,96,0.0,0.0,0.0,26,50.0,65.3846,3.8462,26.9231,0.0
207,181001060002,6,02,2019,0.0,98,0.0,0.0,0.0,90,35.5556,91.1111,3.3333,2.2222,2.2222
208,181101040001,4,01,2019,0.0,71,0.0,0.0,0.0,73,60.274,90.411,4.1096,5.4795,0.0
209,181201040001,4,01,2019,0.0,85,0.0,0.0,0.0,53,56.6038,98.1132,1.8868,0.0,0.0
210,181302040002,4,02,2019,0.0,86,0.0,0.0,0.0,86,37.2093,93.0233,1.1628,2.3256,0.0
211,190301040003,4,03,2019,0.0,88,0.0,0.0,0.0,95,51.5789,73.6842,4.2105,15.7895,0.0
212,190401060003,6,03,2019,0.0,87,0.0,0.0,0.0,116,43.1034,69.8276,8.6207,12.931,0.8621
213,190501040001,4,01,2019,0.0,79,0.0,0.0,0.0,112,27.6786,83.9286,7.1429,6.25,1.7857
214,190701040004,4,04,2019,0.0,89,0.0,0.0,0.0,99,29.2929,95.9596,1.0101,1.0101,1.0101
215,190901040001,4,01,2019,0.0,88,0.0,0.0,0.0,33,57.5758,78.7879,0.0,12.1212,6.0606
216,191401040001,4,01,2019,0.0,96,0.0,0.0,0.0,24,12.5,87.5,0.0,8.3333,4.1667
217,200401040001,4,01,2019,0.0,100,0.0,0.0,0.0,8,25.0,87.5,0.0,12.5,0.0
218,200901040001,4,01,2019,0.0,95,0.0,0.0,0.0,21,52.381,90.4762,9.5238,0.0,0.0
219,210302040003,4,03,2019,0.0,90,0.0,0.0,0.0,62,35.4839,96.7742,0.0,3.2258,0.0
220,210402060001,6,01,2019,0.0,90,0.0,0.0,0.0,80,43.75,95.0,2.5,1.25,0.0
221,210601060005,6,05,2019,0.0,70,0.0,0.0,0.0,79,60.7595,89.8734,3.7975,1.2658,2.5316
222,210800050005,5,05,2019,0.0,82,0.0,0.0,0.0,82,60.9756,90.2439,1.2195,2.439,2.439
223,211003040002,4,02,2019,0.0,85,0.0,0.0,0.0,71,60.5634,95.7746,2.8169,1.4085,0.0
224,211103040001,4,01,2019,0.0,95,0.0,0.0,0.0,40,40.0,92.5,0.0,5.0,0.0
225,211701040001,4,01,2019,0.0,91,0.0,0.0,0.0,22,72.7273,100.0,0.0,0.0,0.0
226,211901020001,2,01,2019,0.0,100,0.0,0.0,0.0,25,44.0,96.0,4.0,0.0,0.0
227,212001040003,4,03,2019,0.0,82,0.0,0.0,0.0,98,55.102,90.8163,1.0204,8.1633,0.0
228,212101040005,4,05,2019,0.0,87,0.0,0.0,0.0,166,48.7952,91.5663,3.6145,0.6024,1.8072
229,220101040002,4,02,2019,0.0,87,0.0,0.0,0.0,136,50.7353,90.4412,2.2059,3.6765,1.4706
230,220202040002,4,02,2019,0.0,100,0.0,0.0,0.0,36,41.6667,97.2222,0.0,2.7778,0.0
231,220301060007,6,07,2019,0.0,93,0.0,0.0,0.0,229,52.4017,71.6157,7.4236,12.2271,2.1834
232,220401040004,4,04,2019,0.0,88,0.0,0.0,0.0,117,29.9145,94.0171,1.7094,2.5641,0.0
233,220701040003,4,03,2019,0.0,92,0.0,0.0,0.0,78,46.1538,89.7436,1.2821,2.5641,0.0
234,220909040010,4,10,2019,0.0,85,0.0,0.0,0.0,34,47.0588,97.0588,2.9412,0.0,0.0
235,221001040001,4,01,2019,0.0,88,0.0,0.0,0.0,40,35.0,97.5,0.0,0.0,0.0
236,221301040001,4,01,2019,0.0,96,0.0,0.0,0.0,28,46.4286,92.8571,0.0,3.5714,0.0
237,221401040001,4,01,2019,0.0,94,0.0,0.0,0.0,49,40.8163,93.8776,0.0,0.0,0.0
