,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
685,331700011751,2019,0.0,64,0.0,0.0,0.0,134,85.0746,1.4925,82.0896,9.7015,2.9851
686,331700860879,2019,0.0,84,0.0,0.0,0.0,130,73.0769,0.0,86.1538,9.2308,0.0
687,331700860882,2019,0.0,88,0.0,0.0,0.0,58,67.2414,0.0,87.931,8.6207,1.7241
688,331800011563,2019,0.0,45,0.0,0.0,0.0,247,73.2794,2.0243,90.6883,4.8583,1.6194
689,331800011566,2019,0.0,37,0.0,0.0,0.0,92,79.3478,7.6087,78.2609,11.9565,0.0
690,331800011567,2019,0.0,37,0.0,0.0,0.0,143,81.8182,1.3986,84.6154,9.0909,2.0979
691,331800011576,2019,0.0,36,0.0,0.0,0.0,120,71.6667,5.8333,81.6667,10.0,2.5
692,331800011578,2019,0.0,43,0.0,0.0,0.0,40,85.0,2.5,87.5,5.0,5.0
693,331800011617,2019,0.0,36,0.0,0.0,0.0,101,79.2079,5.9406,81.1881,10.8911,0.9901
694,331800011629,2019,0.0,38,0.0,0.0,0.0,157,73.8854,0.6369,86.6242,7.0064,1.9108
695,331800011633,2019,0.0,55,0.0,0.0,0.0,195,96.4103,2.0513,82.0513,12.3077,1.5385
696,331800011635,2019,0.0,58,0.0,0.0,0.0,73,78.0822,0.0,93.1507,5.4795,1.3699
697,331800011637,2019,0.0,53,0.0,0.0,0.0,173,79.1908,7.5145,77.4566,6.3584,7.5145
698,331800011642,2019,0.0,24,0.0,0.0,0.0,143,81.1189,6.2937,80.4196,11.1888,2.0979
699,331800011673,2019,0.0,30,0.0,0.0,0.0,54,81.4815,5.5556,75.9259,18.5185,0.0
701,331900011404,2019,0.0,47,0.0,0.0,0.0,189,87.8307,1.5873,63.4921,32.2751,1.0582
702,331900011409,2019,0.0,65,0.0,0.0,0.0,140,86.4286,0.7143,70.0,26.4286,1.4286
703,331900011422,2019,0.0,49,0.0,0.0,0.0,152,79.6053,0.0,69.7368,25.0,1.9737
704,331900011502,2019,0.0,42,0.0,0.0,0.0,137,80.292,0.7299,65.6934,29.1971,1.4599
705,331900011504,2019,0.0,29,0.0,0.0,0.0,127,84.252,1.5748,70.8661,25.1969,2.3622
706,331900011507,2019,0.0,37,0.0,0.0,0.0,200,90.5,1.5,62.0,32.0,3.0
