,schoolcode,schoolname,districtname,mathpass,totaltested,percenttotaltested,male,female,white,black,hispanic,asian,disability,lowincome,year,schoolmode,SchoolType,EnrollmentTotal
107,130586000160001,Salem Community High School,Salem CHSD 600,0.188,165.0,1.0,0.4606060606060606,0.5393939393939394,0.9757575757575756,0.0,0.0,0.0,0.1272727272727272,0.503030303030303,2018,0.409090909090909,Regular school,666
108,130587220260001,Odin Attendance Center 9-12,Odin PSD 722,0.133,15.0,0.938,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.7333333333333333,2021,0.3636363636363636,Regular school,60
109,130587220260001,Odin Attendance Center 9-12,Odin PSD 722,0.0,12.0,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,2019,0.3636363636363636,Regular school,60
110,130587220260001,Odin Attendance Center 9-12,Odin PSD 722,0.083,24.0,0.96,0.5416666666666666,0.4583333333333333,1.0,0.0,0.0,0.0,0.0,0.625,2018,0.3636363636363636,Regular school,60
111,130950990160001,Nashville Comm High School,Nashville CHSD 99,0.11699999999999999,103.0,0.99,0.5728155339805825,0.4271844660194174,0.941747572815534,0.0,0.0,0.0,0.203883495145631,0.3009708737864077,2021,0.4090909090909091,Regular school,408
112,130950990160001,Nashville Comm High School,Nashville CHSD 99,0.287,115.0,0.958,0.5391304347826087,0.4608695652173913,0.9130434782608696,0.0,0.0,0.0,0.1739130434782608,0.3739130434782609,2019,0.4090909090909091,Regular school,408
113,130950990160001,Nashville Comm High School,Nashville CHSD 99,0.402,92.0,0.9890000000000001,0.4239130434782608,0.5760869565217391,0.9782608695652174,0.0,0.0,0.0,0.0,0.2065217391304347,2018,0.4090909090909091,Regular school,408
114,150162990250001,Amundsen High School,City of Chicago SD 299,0.23600000000000002,313.0,0.9209999999999999,0.5175718849840255,0.4824281150159744,0.2140575079872204,0.0926517571884984,0.5654952076677316,0.1022364217252396,0.2587859424920127,0.6038338658146964,2021,0.6363636363636364,Regular school,1454
115,150162990250001,Amundsen High School,City of Chicago SD 299,0.316,291.0,0.986,0.5257731958762887,0.4742268041237113,0.134020618556701,0.1683848797250859,0.5567010309278351,0.1099656357388316,0.1924398625429553,0.8109965635738832,2019,0.6363636363636364,Regular school,1454
116,150162990250001,Amundsen High School,City of Chicago SD 299,0.32899999999999996,289.0,0.997,0.5017301038062284,0.4982698961937716,0.1003460207612456,0.1107266435986159,0.6020761245674741,0.1626297577854671,0.1072664359861591,0.8581314878892734,2018,0.6363636363636364,Regular school,1454
117,150162990250003,Bogan High School,City of Chicago SD 299,0.017,176.0,0.659,0.5,0.5,0.0,0.6704545454545454,0.3125,0.0,0.1988636363636363,0.9090909090909092,2021,0.7727272727272727,Regular school,731
118,150162990250003,Bogan High School,City of Chicago SD 299,0.011000000000000001,250.0,0.833,0.528,0.472,0.0,0.592,0.388,0.0,0.264,0.9,2019,0.7727272727272727,Regular school,731
119,150162990250003,Bogan High School,City of Chicago SD 299,0.031,187.0,0.9209999999999999,0.5721925133689839,0.427807486631016,0.0,0.5026737967914439,0.4919786096256685,0.0,0.1764705882352941,0.9251336898395722,2018,0.7727272727272727,Regular school,731
120,150162990250006,Carver Military Academy HS,City of Chicago SD 299,0.054000000000000006,93.0,0.853,0.5161290322580645,0.4838709677419355,0.0,0.2795698924731182,0.6989247311827957,0.0,0.0,0.6559139784946236,2021,0.7727272727272727,Regular school,435
121,150162990250006,Carver Military Academy HS,City of Chicago SD 299,0.18600000000000003,129.0,1.0,0.4883720930232558,0.5116279069767442,0.0,0.3720930232558139,0.6124031007751938,0.0,0.1007751937984496,0.8914728682170543,2019,0.7727272727272727,Regular school,435
