,schoolcode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
162,141101060001,2019,0.0,95,0.0,0.0,0.0,167,32.33532934131736,93.41317365269461,0.0,3.592814371257485,0.0
163,141201060001,2019,0.0,91,0.0,0.0,0.0,103,23.300970873786408,96.11650485436894,0.9708737864077669,1.9417475728155338,0.0
164,141301060006,2019,0.0,100,0.0,0.0,0.0,171,19.883040935672515,95.32163742690058,0.0,0.5847953216374269,1.7543859649122806
165,141401060003,2019,0.0,87,0.0,0.0,0.0,228,45.17543859649123,79.3859649122807,2.1929824561403506,0.8771929824561403,0.8771929824561403
166,141501060004,2019,0.0,96,0.0,0.0,0.0,251,26.294820717131472,86.05577689243027,2.3904382470119523,5.577689243027888,3.187250996015936
167,141601060007,2019,0.0,98,0.0,0.0,0.0,250,22.400000000000002,96.0,0.4,1.6,0.8
168,141604060008,2019,0.0,92,0.0,0.0,0.0,400,29.25,92.25,0.75,3.25,1.0
169,141701040001,2019,0.0,95,0.0,0.0,0.0,81,20.98765432098765,98.76543209876543,0.0,1.2345679012345678,0.0
170,141800010008,2019,0.0,75,0.0,0.0,0.0,172,80.23255813953489,70.93023255813954,15.11627906976744,11.046511627906977,1.1627906976744187
172,141901060008,2019,0.0,97,0.0,0.0,0.0,475,22.105263157894736,93.26315789473684,1.6842105263157894,3.1578947368421053,0.42105263157894735
173,142101040002,2019,0.0,98,0.0,0.0,0.0,88,37.5,86.36363636363636,0.0,0.0,1.1363636363636365
174,142201040001,2019,0.0,93,0.0,0.0,0.0,44,40.909090909090914,95.45454545454545,0.0,4.545454545454546,0.0
175,142301060006,2019,0.0,96,0.0,0.0,0.0,405,13.82716049382716,94.5679012345679,0.9876543209876543,1.2345679012345678,2.7160493827160495
176,142500010009,2019,0.0,82,0.0,0.0,0.0,139,48.92086330935252,92.80575539568345,2.877697841726619,2.877697841726619,0.0
177,142601030025,2019,0.0,91,0.0,0.0,0.0,260,43.84615384615385,81.15384615384616,8.076923076923077,4.615384615384616,3.076923076923077
178,142601030026,2019,0.0,84,0.0,0.0,0.0,282,52.12765957446809,73.75886524822694,9.929078014184398,8.865248226950355,2.4822695035460995
180,142801060010,2019,0.0,89,0.0,0.0,0.0,353,34.844192634560905,86.40226628895185,3.6827195467422094,5.382436260623229,1.13314447592068
181,142801060016,2019,0.0,88,0.0,0.0,0.0,246,43.08943089430895,84.5528455284553,6.910569105691057,4.0650406504065035,2.8455284552845526
182,150203040001,2019,0.0,100,0.0,0.0,0.0,20,80.0,95.0,0.0,0.0,5.0
183,150601040001,2019,0.0,100,0.0,0.0,0.0,11,18.181818181818183,90.9090909090909,9.090909090909092,0.0,0.0
184,150801040001,2019,0.0,0,0.0,0.0,0.0,4,75.0,100.0,0.0,0.0,0.0
185,150901040004,2019,0.0,96,0.0,0.0,0.0,49,34.69387755102041,97.95918367346938,2.0408163265306123,0.0,0.0
186,151001040001,2019,0.0,71,0.0,0.0,0.0,7,57.14285714285714,100.0,0.0,0.0,0.0
187,151102040001,2019,0.0,92,0.0,0.0,0.0,50,44.0,96.0,2.0,0.0,2.0
188,151401040001,2019,0.0,92,0.0,0.0,0.0,25,56.00000000000001,100.0,0.0,0.0,0.0
189,151501060001,2019,0.0,72,0.0,0.0,0.0,64,43.75,96.875,1.5625,1.5625,0.0
190,151701040001,2019,0.0,100,0.0,0.0,0.0,17,64.70588235294117,88.23529411764706,0.0,0.0,0.0
191,160101060001,2019,0.0,96,0.0,0.0,0.0,45,33.33333333333333,91.11111111111111,0.0,4.444444444444445,0.0
192,160801040002,2019,0.0,91,0.0,0.0,0.0,33,39.39393939393939,96.96969696969697,0.0,0.0,3.0303030303030303
193,161201040002,2019,0.0,91,0.0,0.0,0.0,110,70.0,30.909090909090907,0.0,0.0,0.9090909090909091
194,161401060002,2019,0.0,84,0.0,0.0,0.0,96,31.25,96.875,0.0,1.0416666666666665,0.0
195,161501060014,2019,0.0,86,0.0,0.0,0.0,157,47.13375796178344,98.08917197452229,0.0,0.0,0.0
196,161601040002,2019,0.0,80,0.0,0.0,0.0,55,50.90909090909091,98.18181818181819,0.0,0.0,0.0
197,161801040001,2019,0.0,78,0.0,0.0,0.0,23,47.82608695652174,95.65217391304348,0.0,0.0,0.0
198,170500010009,2019,0.0,73,0.0,0.0,0.0,222,64.86486486486487,86.03603603603604,4.954954954954955,4.954954954954955,0.9009009009009009
199,170600010006,2019,0.0,84,0.0,0.0,0.0,131,45.80152671755725,90.83969465648855,1.5267175572519083,3.816793893129771,1.5267175572519083
200,170801040002,2019,0.0,88,0.0,0.0,0.0,59,44.06779661016949,98.30508474576271,0.0,1.694915254237288,0.0
